City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Santee,92071,41,542,0.094,352,24,348,0.031,Mar18,
Scripps Ranch,92131,33,980,0.190,362,14,464,0.083,Mar18,
Solana Beach,92075,12,1430,0.233,660,8,927,0.184,Mar18,
Sorrento Valley,92121,1,1145,,471,6,545,0.185,Mar18,
South San Diego,92154,30,472,0.043,302,13,350,0.148,Mar18,
Spring Valley,91977,39,467,0.106,341,6,258,-0.010,Mar18,
Spring Valley,91978,10,573,0.253,255,7,316,0.090,Mar18,
Tierrasanta,92124,10,638,-0.003,365,13,470,0.047,Mar18,
University City,92122,7,1009,0.187,521,29,490,0.054,Mar18,
Valley Center,92082,22,680,0.153,267,,,,Mar18,
Vista,92081,23,535,-0.005,310,11,323,0.149,Mar18,
Vista,92083,26,435,0.000,319,13,310,-0.031,Mar18,
Vista,92084,29,560,0.039,298,3,450,,Mar18,
Warner Springs,92086,2,390,1.194,214,,,,Mar18,
Countywide,,"2,258",611,0.062,356,"1,102",430,0.117,Apr18,
Allied Gardens,92120,34,678,-0.009,419,9,335,-0.226,Apr18,
Alpine,91901,17,675,0.157,306,1,195,-0.179,Apr18,
Bay Park,92110,18,783,0.118,532,19,420,0.120,Apr18,
Bonita,91902,13,740,0.121,292,4,381,0.791,Apr18,
Bonsall,92003,6,618,0.077,255,1,290,0.201,Apr18,
Borrego Springs,92004,18,258,0.513,141,4,110,0.397,Apr18,
Boulevard,91905,1,180,-0.419,250,0,,,Apr18,
Campo,91906,4,280,-0.026,226,0,,,Apr18,
Cardiff-by-the-Sea,92007,7,800,-0.418,552,4,633,,Apr18,
Carlsbad,92008,28,955,0.138,419,11,534,-0.166,Apr18,
Carlsbad,92009,50,1093,0.104,378,28,624,0.309,Apr18,
Carlsbad,92010,21,865,0.182,353,5,533,0.198,Apr18,
Carlsbad,92011,27,930,0.257,460,9,731,0.059,Apr18,
Carmel Valley,92130,49,1305,-0.026,450,25,655,0.078,Apr18,
Chula Vista,91910,42,536,0.117,316,9,358,0.144,Apr18,
Chula Vista,91911,40,470,0.044,343,15,342,0.335,Apr18,
Chula Vista,91913,27,640,0.185,275,27,378,0.137,Apr18,
Chula Vista,91914,15,775,0.066,265,4,393,0.003,Apr18,
Chula Vista,91915,23,633,0.039,268,23,440,0.023,Apr18,
Clairemont,92117,41,655,0.065,492,7,359,0.081,Apr18,
College Grove,92115,41,553,0.059,427,19,290,0.247,Apr18,
